elapsed_sec,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_mem_clock_mhz,gpu_mem_total_mb,gpu_mem_used_mb,gpu_power_w,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent,vcn_util
0,0.0,1.587,1587.2,49.375,0.0,11.2,0.0,0.0,2772.0,274.43,1000.0,2048.0,185.9,85.04,47.0,99.0,0.08,1.12,0.27,0.0,0.0,0.0,0.0,0.0,503.0,38.7,126428.7,47810.5,0.0,0.0
1,90.6,1.632,1631.9,48.625,21.4,11.2,0.0,0.0,2745.0,271.76,1000.0,2048.0,185.9,85.01,47.0,99.0,0.08,1.12,0.27,21.4,0.0,67.1,7.9,49.5,511.0,38.7,126428.7,47831.5,0.0,0.0
2,84.4,3.427,3426.9,53.0,20.4,11.2,0.3,0.0,2279.0,177.76,1000.0,2048.0,186.2,81.03,45.0,78.0,0.08,1.12,0.27,20.3,0.0,67.1,7.9,49.0,512.0,39.3,126428.7,48539.0,0.0,0.0
3,87.5,1.636,1636.3,53.125,20.6,11.2,0.0,0.0,2373.0,206.45,1000.0,2048.0,186.1,86.0,50.0,87.0,0.08,1.12,0.27,20.7,0.0,67.1,0.6,67.0,527.0,39.3,126428.7,48537.8,0.0,0.0
4,93.8,1.636,1636.2,54.5,22.7,11.2,0.0,0.1,2425.0,215.82,1000.0,2048.0,186.4,86.06,50.0,89.0,0.1,1.27,0.32,22.8,0.0,67.1,7.9,82.0,527.0,39.7,126428.7,49026.9,0.0,0.0
5,93.8,1.624,1624.2,52.0,22.7,11.2,0.0,0.0,2504.0,235.38,1000.0,2048.0,186.4,85.02,47.0,94.0,0.1,1.27,0.32,22.8,0.0,67.0,0.6,96.0,527.0,39.7,126428.7,49029.4,0.0,0.0
6,96.9,1.616,1616.2,50.625,23.6,11.2,0.0,0.0,2619.0,254.04,1000.0,2048.0,186.4,84.09,48.0,97.0,0.1,1.27,0.32,23.6,0.0,67.1,7.9,98.0,527.0,39.7,126428.7,49031.5,0.0,0.0
7,78.1,1.624,1623.9,49.875,23.6,11.2,0.0,0.0,2689.0,263.52,1000.0,2048.0,186.4,85.02,48.0,98.0,0.1,1.27,0.32,23.5,0.0,67.0,0.5,70.4,527.0,39.7,126428.7,49036.9,0.0,0.0
8,71.9,1.597,1597.3,49.5,23.6,11.2,0.0,0.0,2715.0,266.07,1000.0,2048.0,186.4,84.1,49.0,98.0,0.1,1.27,0.32,23.6,0.0,67.1,7.9,75.0,527.0,39.7,126428.7,49016.5,0.0,0.0
9,81.2,1.601,1601.3,49.25,24.2,11.2,0.0,0.0,2705.0,267.8,1000.0,2048.0,186.4,84.09,48.0,99.0,0.12,1.41,0.36,24.1,0.0,67.1,8.0,66.7,527.0,39.7,126428.7,49020.4,0.0,0.0
