elapsed_sec,board_power_w,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent
0,68.25,0.0,1.998,1998.0,39.9,0.0,14.3,0.0,0.0,1530.0,149.94,41.1,98.0,0.28,1.52,0.51,0.0,0.0,0.0,0.0,0.0,451.0,39.7,125771.7,48291.8,0.0
1,74.05,100.0,1.926,1926.0,40.5,55.6,14.3,0.0,0.0,1530.0,148.41,41.1,97.0,0.28,1.52,0.51,55.9,0.0,66.4,8.2,76.9,451.0,39.7,125771.7,48285.4,0.0
2,74.32,100.0,1.881,1881.0,40.6,56.5,14.3,0.0,0.0,1530.0,149.94,41.8,98.0,0.28,1.52,0.51,57.3,0.0,66.4,8.3,95.4,451.0,39.7,125771.7,48283.8,0.0
3,72.33,100.0,1.809,1809.0,40.7,59.0,14.3,0.0,0.1,1530.0,142.29,42.1,93.0,0.28,1.52,0.51,60.0,0.0,66.5,8.4,94.4,451.0,39.7,125771.7,48293.3,0.0
4,75.12,100.0,1.791,1791.0,41.2,58.6,14.3,0.0,0.0,1530.0,149.94,41.8,98.0,0.28,1.52,0.51,59.5,0.0,66.4,0.5,94.4,451.0,39.7,125771.7,48302.9,0.0
5,74.59,100.0,1.674,1674.0,41.1,57.4,14.3,0.0,0.0,1530.0,148.41,42.5,97.0,0.33,2.12,0.65,57.9,0.0,66.5,8.5,78.9,451.0,39.7,125771.7,48293.2,0.0
6,73.8,100.0,1.791,1791.0,41.2,58.3,14.3,0.0,0.0,1530.0,148.41,42.5,97.0,0.33,2.12,0.65,58.8,0.0,66.4,3.5,86.7,451.0,39.7,125771.7,48294.9,0.0
7,74.07,100.0,1.89,1890.0,42.0,57.2,14.3,0.0,0.0,1530.0,149.94,42.7,98.0,0.33,2.12,0.65,57.3,0.0,66.4,5.3,87.2,451.0,39.7,125771.7,48297.9,0.0
8,74.64,100.0,1.575,1575.0,41.9,59.7,14.3,0.0,0.1,1530.0,145.35,43.0,95.0,0.33,2.12,0.65,60.4,0.0,66.5,8.4,95.5,451.0,39.7,125771.7,48295.8,0.0
9,73.65,100.0,1.836,1836.0,41.8,60.1,14.3,0.0,0.0,1530.0,149.94,43.2,98.0,0.33,2.12,0.65,61.3,0.0,66.4,0.5,95.6,451.0,39.7,125771.7,48296.4,0.0
10,72.7,100.0,1.476,1476.0,41.9,58.6,14.3,0.0,0.0,1530.0,149.94,43.4,98.0,0.39,2.91,0.84,59.6,0.0,66.5,7.9,95.3,451.0,39.7,125771.7,48294.0,0.0
11,73.69,100.0,1.539,1539.0,42.3,59.6,14.3,0.0,0.1,1530.0,149.94,43.5,98.0,0.39,2.91,0.84,60.8,0.0,66.4,7.9,95.2,451.0,39.7,125771.7,48301.5,0.0
12,72.34,100.0,1.989,1989.0,42.4,59.4,14.3,0.0,0.0,1530.0,148.41,43.6,97.0,0.39,2.91,0.84,60.6,0.0,66.4,0.6,95.1,451.0,39.7,125771.7,48294.8,0.0
13,71.49,100.0,1.62,1620.0,42.5,58.0,14.3,0.0,0.0,1530.0,146.88,43.9,96.0,0.39,2.91,0.84,58.9,0.0,66.5,8.0,95.3,452.0,39.7,125771.7,48295.6,0.0
14,73.52,100.0,1.665,1665.0,42.6,59.9,14.3,0.0,0.0,1530.0,148.41,44.2,97.0,0.39,2.91,0.84,60.7,0.0,66.4,8.3,94.5,452.0,39.7,125771.7,48295.8,0.0
15,72.68,100.0,1.908,1908.0,43.0,58.9,14.3,0.0,0.0,1530.0,148.41,43.8,97.0,0.46,3.8,1.06,59.6,0.0,66.5,0.6,95.3,452.0,39.7,125771.7,48297.2,0.0
16,49.69,100.0,1.71,1710.0,42.2,60.2,14.3,0.0,0.0,1530.0,149.94,42.8,98.0,0.46,3.8,1.06,60.2,0.0,66.4,8.3,73.1,452.0,40.4,125771.7,49089.8,0.0
17,31.42,100.0,1.89,1890.0,42.5,59.7,14.3,0.0,0.0,1512.0,0.0,41.8,0.0,0.46,3.8,1.06,60.3,0.0,66.5,5.9,90.3,452.0,40.1,125771.7,49089.5,0.0
18,55.62,100.0,1.989,1989.0,42.2,58.7,14.3,0.0,0.1,1530.0,148.41,43.1,97.0,0.46,3.8,1.06,59.3,0.0,66.4,3.0,95.6,452.0,40.4,125771.7,49103.1,0.0
19,55.77,100.0,1.827,1827.0,41.9,59.0,14.3,0.0,0.0,1449.0,137.66,42.0,95.0,0.46,3.8,1.06,59.3,0.0,66.4,8.2,80.0,452.0,40.4,125771.7,49105.8,0.0
20,75.62,100.0,1.692,1692.0,42.7,59.6,14.3,0.0,0.0,1530.0,149.94,44.1,98.0,0.51,4.21,1.19,59.9,0.0,66.4,3.5,85.6,452.0,40.8,125771.7,49578.0,0.0
21,71.06,100.0,1.8,1800.0,43.8,57.4,14.3,0.0,0.0,1530.0,148.41,44.3,97.0,0.51,4.21,1.19,57.7,0.0,66.4,5.4,95.4,452.0,40.8,125771.7,49587.7,0.0
22,72.85,100.0,1.863,1863.0,43.3,58.4,14.3,0.0,0.0,1530.0,149.94,44.0,98.0,0.51,4.21,1.19,58.8,0.0,66.5,8.2,88.5,452.0,40.8,125771.7,49577.7,0.0
23,71.4,100.0,1.782,1782.0,43.4,55.2,14.3,0.0,0.1,1530.0,149.94,44.3,98.0,0.51,4.21,1.19,55.6,0.0,66.4,0.7,83.9,452.0,40.8,125771.7,49578.6,0.0
24,73.11,100.0,1.719,1719.0,43.5,56.4,14.3,0.0,0.0,1530.0,149.94,44.7,98.0,0.51,4.21,1.19,57.2,0.0,66.4,8.3,87.5,452.0,40.8,125771.7,49576.9,0.0
25,75.73,100.0,1.557,1557.0,43.6,58.4,14.3,0.0,0.0,1530.0,149.94,44.4,98.0,0.6,5.24,1.45,59.6,0.0,66.5,8.4,95.5,452.0,40.8,125771.7,49579.7,0.0
26,71.04,100.0,1.998,1998.0,43.9,56.9,14.3,0.0,0.0,1530.0,145.35,44.7,95.0,0.6,5.24,1.45,57.2,0.0,66.4,0.5,94.2,452.0,40.8,125771.7,49587.2,0.0
27,73.0,100.0,1.791,1791.0,44.1,55.8,14.3,0.0,0.0,1530.0,149.94,45.0,98.0,0.6,5.24,1.45,57.3,0.0,66.4,8.4,96.6,452.0,40.8,125771.7,49577.8,0.0
28,71.27,100.0,1.674,1674.0,43.9,58.6,14.3,0.0,0.0,1530.0,149.94,45.0,98.0,0.6,5.24,1.45,59.6,0.0,66.4,8.2,95.6,452.0,40.8,125771.7,49577.9,0.0
29,72.9,100.0,1.998,1998.0,44.5,57.3,14.3,0.0,0.1,1530.0,149.94,45.2,98.0,0.6,5.24,1.45,58.3,0.0,66.5,0.6,95.5,452.0,40.8,125771.7,49576.0,0.0
30,73.13,100.0,1.89,1890.0,44.3,54.8,14.3,0.0,0.0,1530.0,149.94,45.2,98.0,0.67,5.94,1.66,55.2,0.0,66.4,8.3,67.8,453.0,40.8,125771.7,49602.7,0.0
31,74.52,100.0,1.728,1728.0,44.7,57.2,14.3,0.0,0.0,1530.0,145.35,45.2,95.0,0.67,5.94,1.66,57.9,0.0,66.4,8.3,91.0,453.0,40.8,125771.7,49576.1,0.0
32,72.14,100.0,1.998,1998.0,44.4,57.4,14.3,0.0,0.0,1530.0,149.94,45.2,98.0,0.67,5.94,1.66,57.7,0.0,66.4,0.5,86.2,454.0,40.8,125771.7,49579.2,0.0
33,74.47,100.0,1.764,1764.0,44.7,56.5,14.3,0.0,0.0,1530.0,149.94,45.4,98.0,0.67,5.94,1.66,56.5,0.0,66.5,8.5,76.1,455.0,40.8,125771.7,49578.5,0.0
34,73.4,100.0,1.566,1566.0,44.8,58.0,14.3,0.0,0.1,1530.0,149.94,45.5,98.0,0.67,5.94,1.66,58.3,0.0,66.4,8.2,83.0,456.0,40.8,125771.7,49580.2,0.0
35,50.67,100.0,1.782,1782.0,43.7,59.5,14.3,0.0,0.0,1530.0,148.41,44.3,97.0,0.73,6.43,1.83,60.3,0.0,66.5,0.7,92.0,456.0,41.3,125771.7,50303.1,0.0
36,55.74,100.0,1.962,1962.0,43.8,60.3,14.3,0.0,0.0,1530.0,149.94,44.5,98.0,0.73,6.43,1.83,60.7,0.0,66.3,8.3,95.0,456.0,41.3,125771.7,50310.7,0.0
37,53.32,100.0,1.647,1647.0,43.8,58.1,14.3,0.0,0.0,1530.0,148.41,44.7,97.0,0.73,6.43,1.83,58.2,0.0,65.7,8.3,86.5,456.0,41.3,125771.7,50307.0,0.0
38,74.12,100.0,1.755,1755.0,44.1,60.7,14.3,0.0,0.0,1530.0,148.41,44.8,97.0,0.73,6.43,1.83,60.9,0.0,67.2,0.9,80.4,456.0,41.7,125771.7,50782.7,0.0
39,73.46,100.0,1.827,1827.0,44.5,56.6,14.3,0.0,0.1,1530.0,149.94,45.5,98.0,0.73,6.43,1.83,56.5,0.0,66.4,7.9,75.5,456.0,41.7,125771.7,50787.5,0.0
40,74.57,100.0,1.593,1593.0,44.3,59.0,14.3,0.0,0.0,1530.0,149.94,45.4,98.0,0.8,7.03,2.03,59.1,0.0,66.4,8.3,90.1,456.0,41.7,125771.7,50782.5,0.0
41,78.77,100.0,1.845,1845.0,45.4,59.4,14.3,0.0,0.0,1530.0,130.05,45.7,85.0,0.8,7.03,2.03,60.1,0.0,66.5,0.7,94.2,456.0,41.7,125771.7,50783.6,0.0
42,72.5,100.0,1.638,1638.0,45.1,56.8,14.3,0.0,0.0,1530.0,149.94,45.8,98.0,0.8,7.03,2.03,57.5,0.0,66.0,8.2,92.9,456.0,41.7,125771.7,50778.7,0.0
43,72.39,100.0,1.872,1872.0,44.8,58.6,14.3,0.0,0.0,1530.0,148.41,45.8,97.0,0.8,7.03,2.03,59.4,0.0,66.8,8.4,95.3,456.0,41.7,125771.7,50791.6,0.0
44,74.65,100.0,1.791,1791.0,45.0,57.7,14.3,0.0,0.0,1530.0,149.94,46.1,98.0,0.8,7.03,2.03,58.6,0.0,66.4,8.2,93.3,456.0,41.7,125771.7,50793.4,0.0
45,73.21,100.0,1.881,1881.0,45.4,57.5,14.3,0.0,0.1,1530.0,149.94,46.1,98.0,0.84,7.03,2.12,58.2,0.0,66.4,0.6,94.0,457.0,41.7,125771.7,50790.0,0.0
46,71.25,100.0,1.674,1674.0,45.8,57.6,14.3,0.0,0.0,1530.0,145.35,46.4,95.0,0.84,7.03,2.12,58.4,0.0,66.5,8.4,95.3,457.0,41.7,125771.7,50789.4,0.0
47,70.23,100.0,1.683,1683.0,45.8,58.3,14.3,0.0,0.0,1530.0,149.94,46.2,98.0,0.84,7.03,2.12,59.4,0.0,66.4,8.3,96.6,457.0,41.7,125771.7,50788.6,0.0
48,50.64,100.0,1.98,1980.0,45.6,60.3,14.3,0.0,0.0,1530.0,149.94,45.0,98.0,0.84,7.03,2.12,61.1,0.0,66.4,0.6,95.8,457.0,42.3,125771.7,51479.2,0.0
49,29.22,100.0,1.89,1890.0,44.7,56.3,14.3,0.0,0.0,1530.0,0.0,44.3,0.0,0.84,7.03,2.12,57.2,0.0,66.4,7.9,96.7,457.0,42.3,125771.7,51470.7,0.0
50,52.04,100.0,1.71,1710.0,44.7,60.5,14.3,0.0,0.1,1530.0,148.41,45.8,97.0,0.88,7.11,2.22,60.9,0.0,66.4,8.2,97.0,457.0,42.3,125771.7,51496.3,0.0
51,30.58,100.0,1.962,1962.0,44.0,57.8,14.3,0.0,0.0,1503.0,0.0,44.1,0.0,0.88,7.11,2.22,58.2,0.0,66.4,8.3,82.8,457.0,42.0,125771.7,51481.0,0.0
52,73.31,100.0,1.854,1854.0,45.0,58.9,14.3,0.0,0.0,1530.0,128.52,45.5,84.0,0.88,7.11,2.22,58.8,0.0,66.5,0.6,77.4,457.0,42.7,125771.7,51985.6,0.0
53,72.73,100.0,1.908,1908.0,45.4,55.0,14.3,0.0,0.0,1530.0,149.94,45.9,98.0,0.88,7.11,2.22,55.7,0.0,66.4,8.3,95.4,457.0,42.7,125771.7,51980.7,0.0
