elapsed_sec,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_mem_clock_mhz,gpu_mem_total_mb,gpu_mem_used_mb,gpu_power_w,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent,vcn_util
0,0.0,3.574,3574.2,67.375,0.0,9.4,0.0,0.0,2898.0,289.8,1000.0,2048.0,621.5,121.1,52.0,100.0,0.18,0.94,0.39,0.0,1.0,0.0,0.0,0.0,560.0,40.2,126428.7,49712.2,0.0,0.0
1,75.0,3.324,3323.9,63.0,18.0,9.4,0.0,0.0,2899.0,289.9,1000.0,2048.0,621.5,120.05,52.0,100.0,0.18,0.94,0.39,17.9,1.0,67.3,0.3,100.0,568.0,40.2,126428.7,49682.0,0.0,0.0
2,78.1,3.355,3354.8,60.5,17.9,9.4,0.0,0.0,2899.0,289.9,1000.0,2048.0,621.5,120.02,52.0,100.0,0.18,0.94,0.39,18.1,1.0,66.8,0.4,100.0,568.0,40.2,126428.7,49682.8,0.0,0.0
3,78.1,3.575,3575.0,60.875,17.9,9.4,0.0,0.0,2458.0,196.64,1000.0,2048.0,621.5,108.05,39.0,80.0,0.19,0.94,0.4,17.8,1.0,67.2,0.3,97.0,568.0,41.0,126428.7,50663.4,0.0,0.0
4,78.1,2.52,2520.2,65.125,16.5,9.4,0.0,0.0,2489.0,211.56,1000.0,2048.0,622.6,119.02,58.0,85.0,0.19,0.94,0.4,16.6,1.0,66.9,0.3,69.7,576.0,40.8,126428.7,50463.6,0.0,0.0
5,81.2,3.507,3506.7,64.25,17.7,9.4,0.0,0.0,2603.0,229.06,1000.0,2048.0,622.6,119.04,54.0,88.0,0.19,0.94,0.4,17.8,1.0,67.2,0.3,62.0,576.0,41.2,126428.7,50958.9,0.0,0.0
6,78.1,3.341,3341.0,62.25,18.2,9.4,0.0,0.0,2781.0,264.2,1000.0,2048.0,622.6,121.09,53.0,95.0,0.19,0.94,0.4,18.3,1.0,67.5,0.4,67.3,576.0,41.2,126428.7,50960.8,0.0,0.0
7,84.4,3.231,3230.7,60.625,18.3,9.4,0.0,0.0,2856.0,279.89,1000.0,2048.0,622.6,121.02,54.0,98.0,0.19,0.94,0.4,18.3,1.0,67.1,0.3,60.0,576.0,41.2,126428.7,50941.4,0.0,0.0
8,84.4,2.618,2618.3,60.5,18.4,9.4,0.0,0.0,2885.0,285.62,1000.0,2048.0,622.6,120.05,53.0,99.0,0.2,1.11,0.45,18.4,1.0,67.0,0.3,98.0,576.0,41.2,126428.7,50941.8,0.0,0.0
9,81.2,3.387,3387.1,59.75,18.1,9.4,0.0,0.1,2893.0,286.41,1000.0,2048.0,622.6,120.01,54.0,99.0,0.2,1.11,0.45,18.1,1.0,66.9,0.3,73.7,576.0,41.2,126428.7,50946.1,0.0,0.0
