elapsed_sec,board_power_w,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent
0,16.61,0.0,2.202,2201.6,49.5,0.0,28.4,0.0,0.0,306.0,0.0,,0.0,7.26,2.97,2.07,0.0,0.0,0.0,0.0,0.0,396.0,61.5,62828.1,38026.6,0.6
1,23.13,100.0,2.202,2201.6,50.9,83.6,28.4,0.0,0.1,441.6,6.01,43.4,13.6,7.26,2.97,2.07,83.6,0.0,66.6,0.4,97.0,403.0,67.2,62828.1,41585.9,0.6
2,26.05,100.0,2.202,2201.6,51.1,81.7,28.4,0.0,10.8,424.3,11.16,43.5,26.3,7.35,4.57,2.42,81.8,0.0,66.4,0.4,91.0,403.0,71.0,62828.1,43752.2,0.7
3,27.55,100.0,2.202,2201.6,50.9,87.6,28.4,8.6,1.1,338.6,2.17,44.7,6.4,7.35,4.57,2.42,87.7,0.0,66.5,0.4,95.7,403.0,74.3,62828.1,46071.7,0.7
4,29.37,100.0,2.202,2201.6,51.6,82.7,28.4,769.9,9.5,843.3,84.33,44.1,100.0,7.35,4.57,2.42,82.6,0.0,66.5,0.3,88.4,403.0,75.5,62828.1,46803.4,0.7
5,31.29,100.0,2.202,2201.6,51.0,80.4,28.4,2.5,68.3,1039.6,103.96,44.7,100.0,7.35,4.57,2.42,80.6,0.0,66.5,0.5,91.8,403.0,75.6,62828.1,46842.1,0.9
6,57.08,100.0,2.202,2201.6,52.6,80.5,28.4,8.7,3.8,1204.4,120.44,50.2,100.0,7.35,4.57,2.42,80.4,0.0,66.4,0.2,88.3,403.0,75.8,62828.1,46983.1,0.9
7,43.55,100.0,2.202,2201.6,53.2,94.3,28.4,1.1,3.2,1282.9,128.29,45.7,100.0,7.6,8.53,3.28,94.7,0.0,66.5,0.4,98.0,403.0,75.9,62828.1,47057.7,0.9
8,29.56,100.0,2.202,2201.6,53.0,94.7,28.4,0.1,4.4,527.0,33.68,44.8,63.9,7.6,8.53,3.28,94.8,0.0,66.4,0.2,97.0,403.0,76.0,62828.1,47144.1,1.0
9,29.05,100.0,2.202,2201.6,53.2,97.4,28.4,2.6,4.3,306.0,0.0,,0.0,7.6,8.53,3.28,97.2,0.0,66.5,0.4,99.0,403.0,76.1,62828.1,47162.2,1.0
10,27.95,100.0,2.202,2201.6,53.5,96.3,28.4,5.6,0.0,306.0,0.0,,0.0,7.6,8.53,3.28,96.4,0.0,66.4,0.2,98.0,403.0,76.1,62828.1,47171.3,1.0
11,27.64,100.0,2.202,2201.6,53.0,95.4,28.4,0.0,0.0,306.0,0.0,,0.0,7.6,8.53,3.28,95.3,0.0,66.4,0.3,99.0,403.0,76.1,62828.1,47203.9,1.0
12,27.74,100.0,2.202,2201.6,52.8,94.8,28.4,0.4,0.0,306.0,0.0,,0.0,7.65,9.21,3.5,94.8,0.0,66.5,0.3,98.0,403.0,76.2,62828.1,47216.1,1.0
13,28.85,100.0,2.202,2201.6,53.0,97.4,28.4,0.0,0.0,306.0,0.0,,0.0,7.65,9.21,3.5,97.2,0.0,66.3,0.2,100.0,403.0,76.2,62828.1,47232.7,1.0
14,27.95,100.0,2.202,2201.6,53.2,96.6,28.4,1.0,0.5,306.0,0.0,,0.0,7.65,9.21,3.5,96.6,0.0,66.5,0.4,99.0,403.0,76.2,62828.1,47228.5,1.0
15,27.64,100.0,2.202,2201.6,53.1,96.3,28.4,0.0,0.0,306.0,0.0,,0.0,7.65,9.21,3.5,96.4,0.0,66.4,0.2,99.0,403.0,76.2,62828.1,47231.8,1.0
16,27.94,100.0,2.202,2201.6,53.0,96.5,28.4,0.0,0.0,306.0,0.0,,0.0,7.65,9.21,3.5,96.5,0.0,66.5,0.4,99.0,403.0,76.2,62828.1,47239.7,1.0
17,28.45,100.0,2.202,2201.6,53.3,96.8,28.4,0.0,0.0,306.0,0.0,,0.0,7.78,11.03,3.98,97.0,0.0,66.4,0.2,99.0,403.0,76.2,62828.1,47238.7,1.0
18,27.74,100.0,2.202,2201.6,53.0,96.7,28.4,0.0,0.0,306.0,0.0,,0.0,7.78,11.03,3.98,96.5,0.0,66.5,0.4,99.0,403.0,76.2,62828.1,47241.9,1.0
19,28.04,100.0,2.202,2201.6,53.5,96.2,28.4,0.0,0.1,306.0,0.0,,0.0,7.78,11.03,3.98,96.4,0.0,66.4,0.2,98.0,403.0,76.2,62828.1,47234.1,1.0
20,28.15,100.0,2.202,2201.6,53.5,95.9,28.4,0.0,0.0,306.0,0.0,,0.0,7.78,11.03,3.98,95.7,0.0,66.5,0.3,99.0,403.0,76.2,62828.1,47219.8,1.0
21,27.54,100.0,2.202,2201.6,53.9,97.2,28.4,0.0,0.0,306.0,0.0,,0.0,7.78,11.03,3.98,97.2,0.0,66.3,0.3,99.0,403.0,76.2,62828.1,47235.0,1.0
22,27.74,100.0,2.202,2201.6,53.7,95.9,28.4,0.2,0.0,306.0,0.0,,0.0,7.94,13.19,4.54,95.9,0.0,66.5,0.3,99.0,403.0,76.2,62828.1,47239.1,1.0
23,27.95,100.0,2.202,2201.6,53.3,96.9,28.4,0.0,0.0,306.0,0.0,,0.0,7.94,13.19,4.54,97.0,0.0,66.3,0.3,99.0,403.0,76.2,62828.1,47241.8,1.0
24,28.75,100.0,2.202,2201.6,55.1,97.1,28.4,0.0,0.0,306.0,0.0,,0.0,7.94,13.19,4.54,97.2,0.0,66.5,0.3,99.0,403.0,76.2,62828.1,47245.2,1.0
25,27.84,100.0,2.202,2201.6,53.5,96.2,28.4,0.0,0.0,306.0,0.0,,0.0,7.94,13.19,4.54,96.1,0.0,66.4,0.3,99.0,403.0,76.2,62828.1,47243.4,1.0
26,28.75,100.0,2.202,2201.6,53.9,96.9,28.4,0.0,6.0,306.0,0.0,,0.0,7.94,13.19,4.54,96.7,0.0,66.5,0.4,98.0,403.0,76.2,62828.1,47270.3,1.0
27,28.25,100.0,2.202,2201.6,53.8,96.3,28.4,0.0,0.0,306.0,0.0,,0.0,7.97,13.26,4.7,96.4,0.0,66.4,0.2,98.0,403.0,76.2,62828.1,47264.8,1.0
28,27.95,100.0,2.202,2201.6,53.9,97.1,28.4,0.0,0.1,306.0,0.0,,0.0,7.97,13.26,4.7,97.2,0.0,66.5,0.3,99.0,403.0,76.2,62828.1,47271.5,1.0
29,28.14,100.0,2.202,2201.6,54.0,97.1,28.4,0.0,0.0,306.0,0.0,,0.0,7.97,13.26,4.7,97.0,0.0,66.4,0.3,98.0,403.0,76.2,62828.1,47273.1,1.0
