elapsed_sec,board_power_w,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent
0,89.74,0.0,2.584,2584.3,44.9,0.0,13.6,0.0,0.0,1575.0,152.78,45.6,97.0,1.31,1.15,0.67,0.0,1.0,0.0,0.0,0.0,542.0,58.0,125771.7,71191.7,2.9
1,91.42,100.0,2.187,2187.0,45.2,48.8,13.6,0.0,0.1,1575.0,154.35,45.8,98.0,1.31,1.15,0.67,49.8,1.0,66.7,0.3,92.4,542.0,58.0,125771.7,71180.9,2.9
2,88.28,100.0,2.273,2273.1,45.8,51.6,13.6,0.0,0.0,1575.0,152.78,46.1,97.0,1.34,1.62,0.78,52.4,1.0,66.5,0.3,91.5,542.0,58.0,125771.7,71187.9,2.9
3,93.76,100.0,2.313,2313.0,46.1,49.6,13.6,0.0,0.2,1575.0,152.78,46.3,97.0,1.34,1.62,0.78,50.7,1.0,66.1,0.3,91.8,542.0,58.0,125771.7,71189.0,2.9
4,89.12,100.0,2.119,2118.9,46.4,49.9,13.6,0.0,0.0,1575.0,152.78,46.7,97.0,1.34,1.62,0.78,50.5,1.0,66.8,0.3,89.0,543.0,58.0,125771.7,71189.0,2.9
5,89.53,100.0,2.236,2235.9,46.6,51.6,13.6,0.0,0.0,1575.0,148.05,46.9,94.0,1.34,1.62,0.78,52.7,1.0,66.9,0.4,92.0,543.0,58.0,125771.7,71189.4,2.9
6,90.57,100.0,2.15,2149.7,47.6,48.5,13.6,0.0,0.0,1575.0,154.35,47.1,98.0,1.34,1.62,0.78,49.1,1.0,67.0,0.3,90.6,543.0,58.0,125771.7,71187.5,2.9
7,95.38,100.0,2.127,2126.6,47.4,51.4,13.6,0.0,0.0,1575.0,152.78,47.3,97.0,1.36,1.97,0.86,52.4,1.0,66.0,0.3,91.1,543.0,58.0,125771.7,71188.5,2.9
8,92.64,100.0,2.156,2156.1,47.7,49.5,13.6,0.0,0.1,1575.0,154.35,47.5,98.0,1.36,1.97,0.86,50.8,1.0,66.3,0.3,90.8,543.0,58.0,125771.7,71187.7,2.9
9,89.1,100.0,1.862,1861.7,47.8,49.4,13.6,0.0,0.0,1575.0,152.78,47.8,97.0,1.36,1.97,0.86,50.0,1.0,68.0,0.3,88.8,543.0,58.0,125771.7,71187.5,2.9
10,92.61,100.0,2.015,2014.7,47.8,53.2,13.6,0.0,0.0,1575.0,154.35,47.8,98.0,1.36,1.97,0.86,54.2,1.0,65.5,0.3,91.1,543.0,58.0,125771.7,71188.6,2.9
11,89.47,100.0,1.869,1869.4,48.2,49.7,13.6,0.0,0.2,1575.0,152.78,48.1,97.0,1.36,1.97,0.86,50.6,1.0,65.7,0.3,91.7,541.0,58.0,125771.7,71188.7,2.9
12,92.56,100.0,1.916,1915.7,48.2,50.5,13.6,0.0,0.0,1575.0,154.35,48.4,98.0,1.4,2.54,1.0,51.7,1.0,66.5,0.3,92.2,541.0,58.0,125771.7,71189.4,2.9
13,89.99,100.0,2.101,2100.9,48.4,50.5,13.6,0.0,0.0,1575.0,152.78,48.5,97.0,1.4,2.54,1.0,50.9,1.0,66.1,0.3,90.6,542.0,58.0,125771.7,71189.2,2.9
14,88.8,100.0,2.064,2063.6,48.3,48.8,13.6,0.0,0.1,1575.0,154.35,48.6,98.0,1.4,2.54,1.0,49.0,1.0,66.4,0.3,75.0,542.0,58.0,125771.7,71194.7,2.9
15,91.0,100.0,2.088,2088.0,48.3,52.2,13.6,0.0,0.0,1575.0,151.2,48.8,96.0,1.4,2.54,1.0,53.2,1.0,67.0,0.4,90.7,542.0,58.0,125771.7,71197.7,2.9
16,92.28,100.0,2.352,2351.6,48.6,50.8,13.6,0.0,0.0,1575.0,154.35,49.1,98.0,1.4,2.54,1.0,51.7,1.0,66.3,0.3,91.9,543.0,58.0,125771.7,71199.6,2.9
17,88.32,100.0,1.922,1922.1,48.6,50.8,13.6,0.0,0.0,1575.0,151.2,49.1,96.0,1.45,3.05,1.13,51.9,1.0,66.1,0.3,90.8,543.0,58.0,125771.7,71200.1,2.9
18,88.07,100.0,2.344,2343.9,48.9,51.1,13.6,0.0,0.0,1575.0,154.35,49.3,98.0,1.45,3.05,1.13,52.1,1.0,65.9,0.3,92.0,543.0,58.0,125771.7,71193.4,2.9
