elapsed_sec,board_power_w,cores_active_percent,cpu_freq_ghz,cpu_freq_mhz,cpu_temp,cpu_total,disk_percent,disk_read_rate_mbps,disk_write_rate_mbps,gpu_clock_mhz,gpu_effective_throughput,gpu_temp,gpu_util,load_15m,load_1m,load_5m,mean_core_util,net_errors,net_recv_rate_mbps,net_sent_rate_mbps,peak_core_util,process_count,ram_percent,ram_total_mb,ram_used_mb,swap_percent
0,84.46,0.0,2.538,2538.0,45.5,0.0,27.0,0.0,0.0,1575.0,152.78,46.2,97.0,5.18,4.9,5.49,0.0,0.0,0.0,0.0,0.0,466.0,81.4,125748.6,101104.2,0.1
1,88.04,100.0,2.295,2295.0,45.9,47.5,27.0,0.3,0.1,1575.0,152.78,46.4,97.0,5.18,4.9,5.49,47.9,0.0,66.4,7.9,73.3,466.0,81.4,125748.6,101072.6,0.1
2,69.06,100.0,2.078,2077.7,47.2,47.4,27.0,0.0,0.0,1575.0,154.35,46.5,98.0,5.18,4.9,5.49,48.3,0.0,66.4,0.6,92.0,466.0,81.4,125748.6,101085.5,0.1
3,79.17,100.0,1.931,1931.1,46.1,47.5,27.0,0.0,0.1,1575.0,154.35,47.0,98.0,5.18,4.9,5.49,48.0,0.0,66.4,8.0,83.5,466.0,81.4,125748.6,101083.6,0.1
4,88.25,100.0,2.226,2225.6,46.5,49.8,27.0,0.0,0.1,1575.0,154.35,47.2,98.0,5.2,5.23,5.55,50.6,0.0,66.5,7.9,85.9,466.0,81.4,125748.6,101085.7,0.1
5,89.13,100.0,1.954,1954.3,47.5,47.0,27.0,0.0,0.0,1575.0,152.78,47.4,97.0,5.2,5.23,5.55,47.3,0.0,66.3,0.5,87.4,466.0,81.4,125748.6,101084.0,0.1
6,88.94,100.0,1.854,1854.0,46.2,49.4,27.0,0.0,0.0,1575.0,154.35,47.6,98.0,5.2,5.23,5.55,50.0,0.0,66.4,8.0,87.1,466.0,81.4,125748.6,101091.2,0.1
7,84.54,100.0,1.817,1816.7,46.7,50.2,27.0,0.0,0.0,1575.0,154.35,47.8,98.0,5.2,5.23,5.55,51.2,0.0,66.5,7.9,89.3,466.0,81.4,125748.6,101083.4,0.1
8,95.13,100.0,2.395,2395.3,47.4,49.1,27.0,0.0,0.0,1575.0,154.35,48.2,98.0,5.2,5.23,5.55,49.8,0.0,66.3,0.6,88.5,466.0,81.4,125748.6,101087.0,0.1
9,82.7,100.0,1.963,1963.3,47.1,50.2,27.0,0.0,0.1,1575.0,154.35,47.4,98.0,5.2,5.13,5.53,51.3,0.0,66.5,7.9,85.2,466.0,81.4,125748.6,101087.6,0.1
10,91.96,100.0,1.945,1945.3,47.4,50.3,27.0,0.0,0.0,1575.0,154.35,48.7,98.0,5.2,5.13,5.53,50.7,0.0,66.4,8.0,89.7,466.0,81.4,125748.6,101087.2,0.1
11,66.91,100.0,2.173,2172.9,48.6,48.5,27.0,0.0,0.0,1575.0,154.35,48.7,98.0,5.2,5.13,5.53,49.1,0.0,66.3,0.5,89.0,466.0,81.4,125748.6,101085.7,0.1
